// Export from Boxsim V2.00 - ©UweG 1999-2018
// Project: 
	frequency response box		energy frequency response box	frequency response for active filter 1		frequency response for active filter 2	
							
f	magnitude	phase	magnitude	magnitude	phase	magnitude	phase
[Hz]	[dB]	[deg]	[dB]	[dB]	[deg]	[dB]	[deg]
1362,1	87,8	-163,2	80,439	-6,547	-115	-10,28	131,22
1430,6	87,529	-170,5	79,814	-7,198	-118	-9,457	128,02
1502,6	87,323	-173,2	79,399	-7,87	-120,9	-8,648	124,59
1578,2	87,36	-172,3	79,138	-8,561	-123,6	-7,864	120,92
1657,6	87,122	-173,3	78,628	-9,269	-126,3	-7,11	117,01
1741	87,638	-178,5	79,14	-9,993	-128,8	-6,391	112,87
1828,5	88,146	168,97	79,648	-10,73	-131,3	-5,715	108,52
1920,5	87,657	162,65	79,196	-11,48	-133,6	-5,088	103,97
2017,2	88,064	154,85	80,047	-12,24	-135,8	-4,515	99,275
2118,6	88,283	135,55	80,88	-13,01	-138	-4,001	94,47
2225,2	87,792	123,66	80,817	-13,79	-140	-3,548	89,613
2337,2	87,388	113,79	80,82	-14,58	-141,9	-3,158	84,76
2454,7	87,691	91,42	81,816	-15,38	-143,8	-2,829	79,969
2578,2	87,578	77,886	82,274	-16,18	-145,5	-2,559	75,292
2707,9	87,608	71,067	82,704	-16,99	-147,2	-2,341	70,775
2844,1	86,61	79,307	81,753	-17,8	-148,8	-2,172	66,453
2987,2	87,166	85,406	82,388	-18,62	-150,3	-2,044	62,349
3137,5	86,741	88,252	82,032	-19,44	-151,8	-1,951	58,479
3295,3	86,039	91,501	81,272	-20,26	-153,1	-1,887	54,848
3461,1	86,466	68,722	81,866	-21,09	-154,4	-1,846	51,454
3635,2	87,335	45,838	83,122	-21,92	-155,7	-1,824	48,292
3818,1	87,21	40,022	83,029	-22,75	-156,8	-1,816	45,35
4010,2	87,764	33,876	83,323	-23,58	-158	-1,819	42,617
4211,9	87,55	32,065	82,688	-24,42	-159	-1,831	40,078
4423,8	87,457	16,288	82,181	-25,26	-160	-1,848	37,719
4646,3	87,877	-1,136	82,358	-26,09	-161	-1,869	35,526
4880,1	88,326	-21,8	82,675	-26,93	-161,9	-1,892	33,487
5125,6	88,519	-25,1	82,698	-27,78	-162,8	-1,917	31,589
5383,4	88,751	-29,55	82,524	-28,62	-163,6	-1,943	29,819
5654,3	88,882	-34,36	82,106	-29,46	-164,4	-1,968	28,168
5938,7	88,747	-33,85	81,68	-30,31	-165,2	-1,993	26,626
6237,5	88,365	-20,1	81,232	-31,15	-165,9	-2,017	25,183
6551,2	87,939	0,0443	80,615	-32	-166,5	-2,041	23,831
6880,8	87,877	-19,69	80,006	-32,85	-167,2	-2,063	22,564
7227	87,519	-52,63	79,256	-33,69	-167,8	-2,083	21,375
7590,5	87,052	-52,96	78,752	-34,54	-168,4	-2,103	20,257
7972,4	86,945	-62,05	78,435	-35,39	-169	-2,121	19,206
8373,4	87,128	-75,82	78,238	-36,24	-169,5	-2,138	18,215
8794,7	87,182	-97,87	77,985	-37,09	-170	-2,154	17,282
9237,1	87,284	-111,8	77,741	-37,94	-170,5	-2,168	16,402
9701,8	87,638	-144,4	77,43	-38,79	-170,9	-2,182	15,571
10190	88	-152	77,219	-39,64	-171,4	-2,194	14,787
10702	88,259	-173,3	76,867	-40,49	-171,8	-2,205	14,045
11241	88,383	-170,9	76,456	-41,34	-172,2	-2,216	13,343
11806	88,321	-155	75,894	-42,19	-172,5	-2,225	12,679
12400	88,084	-129,1	75,1	-43,04	-172,9	-2,234	12,05
13024	87,68	-76,01	74,123	-43,89	-173,2	-2,242	11,454
13679	87,192	-115,7	73,051	-44,74	-173,6	-2,249	10,889
14367	86,821	-178,1	72,09	-45,59	-173,9	-2,256	10,354
15090	86,61	-175,1	71,386	-46,44	-174,2	-2,262	9,8458
15849	86,414	161,06	70,713	-47,3	-174,4	-2,267	9,3639
16647	85,895	121,55	69,652	-48,15	-174,7	-2,272	8,9064
17484	84,776	73,18	67,943	-49	-175	-2,277	8,4721
18364	83,1	29,479	65,736	-49,85	-175,2	-2,281	8,0597
19288	81,733	-40,6	63,863	-50,7	-175,4	-2,285	7,6679
20258	80,581	-67,69	62,248	-51,55	-175,7	-2,288	7,2956
21277	79,559	-87,17	60,828	-52,41	-175,9	-2,292	6,9419
22347	78,851	-107,6	59,801	-53,26	-176,1	-2,294	6,6057
23472	78,698	-129,2	59,426	-54,11	-176,3	-2,297	6,2861
24652	78,687	-151,8	59,285	-54,96	-176,4	-2,299	5,9823
25892	78,665	-175,5	59,223	-55,82	-176,6	-2,302	5,6934
27195	78,663	159,73	59,227	-56,67	-176,8	-2,303	5,4186
28563	78,661	133,62	59,243	-57,52	-176,9	-2,305	5,1573
30000	78,659	106,29	59,277	-58,37	-177,1	-2,307	4,9088
